Enum,Value,DatabaseName,Documentation
CouponType,PERCENTAGE,,
CouponType,FIXED,,
UserRole,ADMIN,,
UserRole,MANAGER,,
UserRole,STAFF,,
UserStatus,PENDING,,
UserStatus,VERIFIED,,
UserStatus,APPROVED,,
UserStatus,REJECTED,,
UserStatus,SUSPENDED,,
stock_reconciliation_status,DRAFT,,
stock_reconciliation_status,PENDING,,
stock_reconciliation_status,APPROVED,,
stock_reconciliation_status,REJECTED,,
FinancialType,EXPENSE,,
FinancialType,INCOME,,
FinancialStatus,PENDING,,
FinancialStatus,COMPLETED,,
FinancialStatus,CANCELLED,,
FinancialStatus,APPROVED,,
FinancialStatus,REJECTED,,
PaymentMethod,CASH,,
PaymentMethod,BANK_TRANSFER,,
PaymentMethod,POS_MACHINE,,
PaymentMethod,CREDIT_CARD,,
PaymentMethod,MOBILE_MONEY,,
ProductStatus,ACTIVE,,
ProductStatus,INACTIVE,,
ProductStatus,OUT_OF_STOCK,,
ProductStatus,DISCONTINUED,,
ExpenseType,INVENTORY_PURCHASES,,
ExpenseType,UTILITIES,,
ExpenseType,RENT,,
ExpenseType,SALARIES,,
ExpenseType,MARKETING,,
ExpenseType,OFFICE_SUPPLIES,,
ExpenseType,TRAVEL,,
ExpenseType,INSURANCE,,
ExpenseType,MAINTENANCE,,
ExpenseType,OTHER,,
IncomeSource,SALES,,
IncomeSource,SERVICES,,
IncomeSource,INVESTMENTS,,
IncomeSource,ROYALTIES,,
IncomeSource,COMMISSIONS,,
IncomeSource,OTHER,,
