Field,BaseType,Kind,Optional,List,Id,Unique,UpdatedAt,Default,DbType,MapTo,RelationName,RelationFields,RelationReferences,RelationOnDelete,RelationOnUpdate,AttributesRaw,Documentation
id,Int,scalar,FALSE,FALSE,TRUE,FALSE,FALSE,autoincrement(),,,,,,,,@id @default(autoincrement()),
approved_at,DateTime,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,,Timestamptz(6),,,,,,,@db.Timestamptz(6),
approved_by,Int,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,
confidence_score,Decimal,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,,"Decimal(3, 2)",,,,,,,"@db.Decimal(3, 2)",
content_type,String,scalar,FALSE,FALSE,FALSE,FALSE,FALSE,,VarChar(50),,,,,,,@db.VarChar(50),
created_at,DateTime,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,now(),Timestamptz(6),,,,,,,@default(now()) @db.Timestamptz(6),
generated_content,String,scalar,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,
is_approved,Boolean,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,false,,,,,,,,@default(false),
model_used,String,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,,VarChar(100),,,,,,,@db.VarChar(100),
original_content,String,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,
product_id,Int,scalar,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,
prompt_used,String,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,
updated_at,DateTime,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,now(),Timestamptz(6),,,,,,,@default(now()) @db.Timestamptz(6),
users,User,relation,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,approved_by,id,NoAction,NoAction,"@relation(fields: [approved_by], references: [id], onDelete: NoAction, onUpdate: NoAction)",
products,Product,relation,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,product_id,id,Cascade,NoAction,"@relation(fields: [product_id], references: [id], onDelete: Cascade, onUpdate: NoAction)",
