Field,BaseType,Kind,Optional,List,Id,Unique,UpdatedAt,Default,DbType,MapTo,RelationName,RelationFields,RelationReferences,RelationOnDelete,RelationOnUpdate,AttributesRaw,Documentation
id,Int,scalar,FALSE,FALSE,TRUE,FALSE,FALSE,autoincrement(),,,,,,,,@id @default(autoincrement()),
code,String,scalar,FALSE,FALSE,FALSE,TRUE,FALSE,,VarChar(50),,,,,,,@unique @db.VarChar(50),
name,String,scalar,FALSE,FALSE,FALSE,FALSE,FALSE,,VarChar(255),,,,,,,@db.VarChar(255),
description,String,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,
type,CouponType,enum,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,
value,Decimal,scalar,FALSE,FALSE,FALSE,FALSE,FALSE,,"Decimal(10, 2)",,,,,,,"@db.Decimal(10, 2)",
minimumAmount,Decimal,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,,"Decimal(10, 2)",minimum_amount,,,,,,"@map(""minimum_amount"") @db.Decimal(10, 2)",
maxUses,Int,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,,,max_uses,,,,,,"@map(""max_uses"")",
currentUses,Int,scalar,FALSE,FALSE,FALSE,FALSE,FALSE,0,,current_uses,,,,,,"@default(0) @map(""current_uses"")",
isActive,Boolean,scalar,FALSE,FALSE,FALSE,FALSE,FALSE,true,,is_active,,,,,,"@default(true) @map(""is_active"")",
wordpress_id,Int,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,,,wordpress_id,,,,,,"@map(""wordpress_id"")",
validFrom,DateTime,scalar,FALSE,FALSE,FALSE,FALSE,FALSE,,Timestamptz(6),valid_from,,,,,,"@map(""valid_from"") @db.Timestamptz(6)",
validUntil,DateTime,scalar,FALSE,FALSE,FALSE,FALSE,FALSE,,Timestamptz(6),valid_until,,,,,,"@map(""valid_until"") @db.Timestamptz(6)",
createdBy,Int,scalar,FALSE,FALSE,FALSE,FALSE,FALSE,,,created_by,,,,,,"@map(""created_by"")",
createdAt,DateTime,scalar,FALSE,FALSE,FALSE,FALSE,FALSE,now(),Timestamptz(6),created_at,,,,,,"@default(now()) @map(""created_at"") @db.Timestamptz(6)",
updatedAt,DateTime,scalar,FALSE,FALSE,FALSE,FALSE,TRUE,now(),Timestamptz(6),updated_at,,,,,,"@default(now()) @updatedAt @map(""updated_at"") @db.Timestamptz(6)",
createdByUser,User,relation,FALSE,FALSE,FALSE,FALSE,FALSE,,,,CouponCreator,createdBy,id,,,"@relation(""CouponCreator"", fields: [createdBy], references: [id])",
salesItems,SalesItem,relation,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,
