Field,BaseType,Kind,Optional,List,Id,Unique,UpdatedAt,Default,DbType,MapTo,RelationName,RelationFields,RelationReferences,RelationOnDelete,RelationOnUpdate,AttributesRaw,Documentation
id,Int,scalar,FALSE,FALSE,TRUE,FALSE,FALSE,autoincrement(),,,,,,,,@id @default(autoincrement()),
name,String,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,,VarChar(255),,,,,,,@db.VarChar(255),
email,String,scalar,TRUE,FALSE,FALSE,TRUE,FALSE,,VarChar(255),,,,,,,@unique @db.VarChar(255),
phone,String,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,,VarChar(20),,,,,,,@db.VarChar(20),
billingAddress,String,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,,,billing_address,,,,,,"@map(""billing_address"")",
shippingAddress,String,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,,,shipping_address,,,,,,"@map(""shipping_address"")",
city,String,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,,VarChar(100),,,,,,,@db.VarChar(100),
state,String,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,,VarChar(100),,,,,,,@db.VarChar(100),
postalCode,String,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,,VarChar(20),postal_code,,,,,,"@map(""postal_code"") @db.VarChar(20)",
country,String,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,"""Nigeria""",VarChar(100),,,,,,,"@default(""Nigeria"") @db.VarChar(100)",
customerType,String,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,"""individual""",VarChar(50),customer_type,,,,,,"@default(""individual"") @map(""customer_type"") @db.VarChar(50)",
notes,String,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,
isActive,Boolean,scalar,FALSE,FALSE,FALSE,FALSE,FALSE,true,,is_active,,,,,,"@default(true) @map(""is_active"")",
wordpress_id,Int,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,,,wordpress_id,,,,,,"@map(""wordpress_id"")",
createdAt,DateTime,scalar,FALSE,FALSE,FALSE,FALSE,FALSE,now(),Timestamptz(6),created_at,,,,,,"@default(now()) @map(""created_at"") @db.Timestamptz(6)",
updatedAt,DateTime,scalar,FALSE,FALSE,FALSE,FALSE,TRUE,now(),Timestamptz(6),updated_at,,,,,,"@default(now()) @updatedAt @map(""updated_at"") @db.Timestamptz(6)",
salesTransactions,SalesTransaction,relation,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,
