Field,BaseType,Kind,Optional,List,Id,Unique,UpdatedAt,Default,DbType,MapTo,RelationName,RelationFields,RelationReferences,RelationOnDelete,RelationOnUpdate,AttributesRaw,Documentation
id,Int,scalar,FALSE,FALSE,TRUE,FALSE,FALSE,autoincrement(),,,,,,,,@id @default(autoincrement()),
transactionNumber,String,scalar,FALSE,FALSE,FALSE,TRUE,FALSE,,VarChar(50),transaction_number,,,,,,"@unique @map(""transaction_number"") @db.VarChar(50)",
type,FinancialType,enum,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,
amount,Decimal,scalar,FALSE,FALSE,FALSE,FALSE,FALSE,,"Decimal(15, 2)",,,,,,,"@db.Decimal(15, 2)",
description,String,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,
transactionDate,DateTime,scalar,FALSE,FALSE,FALSE,FALSE,FALSE,,Date,transaction_date,,,,,,"@map(""transaction_date"") @db.Date",
status,FinancialStatus,enum,FALSE,FALSE,FALSE,FALSE,FALSE,COMPLETED,,,,,,,,@default(COMPLETED),
approvedBy,Int,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,,,approved_by,,,,,,"@map(""approved_by"")",
approvedAt,DateTime,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,,Timestamptz(6),approved_at,,,,,,"@map(""approved_at"") @db.Timestamptz(6)",
createdBy,Int,scalar,FALSE,FALSE,FALSE,FALSE,FALSE,,,created_by,,,,,,"@map(""created_by"")",
createdAt,DateTime,scalar,FALSE,FALSE,FALSE,FALSE,FALSE,now(),Timestamptz(6),created_at,,,,,,"@default(now()) @map(""created_at"") @db.Timestamptz(6)",
updatedAt,DateTime,scalar,FALSE,FALSE,FALSE,FALSE,TRUE,now(),Timestamptz(6),updated_at,,,,,,"@default(now()) @updatedAt @map(""updated_at"") @db.Timestamptz(6)",
paymentMethod,PaymentMethod,enum,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,
expenseDetails,ExpenseDetail,relation,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,
approvedByUser,User,relation,TRUE,FALSE,FALSE,FALSE,FALSE,,,,TransactionApprover,approvedBy,id,,,"@relation(""TransactionApprover"", fields: [approvedBy], references: [id])",
createdByUser,User,relation,FALSE,FALSE,FALSE,FALSE,FALSE,,,,TransactionCreator,createdBy,id,,,"@relation(""TransactionCreator"", fields: [createdBy], references: [id])",
incomeDetails,IncomeDetail,relation,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,
