Field,BaseType,Kind,Optional,List,Id,Unique,UpdatedAt,Default,DbType,MapTo,RelationName,RelationFields,RelationReferences,RelationOnDelete,RelationOnUpdate,AttributesRaw,Documentation
id,Int,scalar,FALSE,FALSE,TRUE,FALSE,FALSE,autoincrement(),,,,,,,,@id @default(autoincrement()),
name,String,scalar,FALSE,FALSE,FALSE,FALSE,FALSE,,VarChar(255),,,,,,,@db.VarChar(255),
description,String,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,
sku,String,scalar,FALSE,FALSE,FALSE,TRUE,FALSE,,VarChar(100),,,,,,,@unique @db.VarChar(100),
cost,Decimal,scalar,FALSE,FALSE,FALSE,FALSE,FALSE,,"Decimal(10, 2)",,,,,,,"@db.Decimal(10, 2)",
price,Decimal,scalar,FALSE,FALSE,FALSE,FALSE,FALSE,,"Decimal(10, 2)",,,,,,,"@db.Decimal(10, 2)",
stock,Int,scalar,FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,,,,,@default(0),
minStock,Int,scalar,FALSE,FALSE,FALSE,FALSE,FALSE,0,,min_stock,,,,,,"@default(0) @map(""min_stock"")",
hasVariants,Boolean,scalar,FALSE,FALSE,FALSE,FALSE,FALSE,false,,has_variants,,,,,,"@default(false) @map(""has_variants"")",
isArchived,Boolean,scalar,FALSE,FALSE,FALSE,FALSE,FALSE,false,,is_archived,,,,,,"@default(false) @map(""is_archived"")",
tags,String,scalar,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,
wordpress_id,Int,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,,,wordpress_id,,,,,,"@map(""wordpress_id"")",
createdAt,DateTime,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,now(),Timestamptz(6),created_at,,,,,,"@default(now()) @map(""created_at"") @db.Timestamptz(6)",
updatedAt,DateTime,scalar,TRUE,FALSE,FALSE,FALSE,TRUE,now(),Timestamptz(6),updated_at,,,,,,"@default(now()) @updatedAt @map(""updated_at"") @db.Timestamptz(6)",
supplierId,Int,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,,,supplier_id,,,,,,"@map(""supplier_id"")",
categoryId,Int,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,,,category_id,,,,,,"@map(""category_id"")",
brandId,Int,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,,,brand_id,,,,,,"@map(""brand_id"")",
images,Json,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,
status,ProductStatus,enum,FALSE,FALSE,FALSE,FALSE,FALSE,ACTIVE,,,,,,,,@default(ACTIVE),
syncStats,Boolean,scalar,FALSE,FALSE,FALSE,FALSE,FALSE,false,,sync_stats,,,,,,"@default(false) @map(""sync_stats"")",
isService,Boolean,scalar,FALSE,FALSE,FALSE,FALSE,FALSE,false,,is_service,,,,,,"@default(false) @map(""is_service"")",
ai_content,AIContent,relation,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,
product_variants,ProductVariant,relation,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,
brand,Brand,relation,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,brandId,id,,NoAction,"@relation(fields: [brandId], references: [id], onUpdate: NoAction)",
category,Category,relation,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,categoryId,id,,NoAction,"@relation(fields: [categoryId], references: [id], onUpdate: NoAction)",
supplier,Supplier,relation,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,supplierId,id,,NoAction,"@relation(fields: [supplierId], references: [id], onUpdate: NoAction)",
sales_items,SalesItem,relation,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,
stockAdditions,StockAddition,relation,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,
stock_adjustments,StockAdjustment,relation,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,
reconciliationItems,StockReconciliationItem,relation,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,
