Field,BaseType,Kind,Optional,List,Id,Unique,UpdatedAt,Default,DbType,MapTo,RelationName,RelationFields,RelationReferences,RelationOnDelete,RelationOnUpdate,AttributesRaw,Documentation
id,Int,scalar,FALSE,FALSE,TRUE,FALSE,FALSE,autoincrement(),,,,,,,,@id @default(autoincrement()),
name,String,scalar,FALSE,FALSE,FALSE,FALSE,FALSE,,VarChar(255),,,,,,,@db.VarChar(255),
sku,String,scalar,FALSE,FALSE,FALSE,TRUE,FALSE,,VarChar(100),,,,,,,@unique @db.VarChar(100),
price,Decimal,scalar,FALSE,FALSE,FALSE,FALSE,FALSE,,"Decimal(10, 2)",,,,,,,"@db.Decimal(10, 2)",
cost,Decimal,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,,"Decimal(10, 2)",,,,,,,"@db.Decimal(10, 2)",
color,String,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,,VarChar(100),,,,,,,@db.VarChar(100),
wordpress_id,Int,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,,,wordpress_id,,,,,,"@map(""wordpress_id"")",
created_at,DateTime,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,now(),Timestamptz(6),,,,,,,@default(now()) @db.Timestamptz(6),
current_stock,Int,scalar,FALSE,FALSE,FALSE,FALSE,FALSE,0,,,,,,,,@default(0),
dimensions,Json,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,
is_active,Boolean,scalar,FALSE,FALSE,FALSE,FALSE,FALSE,true,,,,,,,,@default(true),
material,String,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,,VarChar(100),,,,,,,@db.VarChar(100),
max_stock_level,Int,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,
min_stock_level,Int,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,0,,,,,,,,@default(0),
product_id,Int,scalar,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,
size,String,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,,VarChar(50),,,,,,,@db.VarChar(50),
updated_at,DateTime,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,now(),Timestamptz(6),,,,,,,@default(now()) @db.Timestamptz(6),
weight,Decimal,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,,"Decimal(8, 3)",,,,,,,"@db.Decimal(8, 3)",
images,Json,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,
products,Product,relation,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,product_id,id,Cascade,NoAction,"@relation(fields: [product_id], references: [id], onDelete: Cascade, onUpdate: NoAction)",
sales_items,SalesItem,relation,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,
stock_adjustments,StockAdjustment,relation,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,
