Field,BaseType,Kind,Optional,List,Id,Unique,UpdatedAt,Default,DbType,MapTo,RelationName,RelationFields,RelationReferences,RelationOnDelete,RelationOnUpdate,AttributesRaw,Documentation
id,Int,scalar,FALSE,FALSE,TRUE,FALSE,FALSE,autoincrement(),,,,,,,,@id @default(autoincrement()),
quantity,Int,scalar,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,
created_at,DateTime,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,now(),Timestamptz(6),,,,,,,@default(now()) @db.Timestamptz(6),
discount_amount,Decimal,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,0,"Decimal(10, 2)",,,,,,,"@default(0) @db.Decimal(10, 2)",
product_id,Int,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,
total_price,Decimal,scalar,FALSE,FALSE,FALSE,FALSE,FALSE,,"Decimal(10, 2)",,,,,,,"@db.Decimal(10, 2)",
transaction_id,Int,scalar,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,
unit_price,Decimal,scalar,FALSE,FALSE,FALSE,FALSE,FALSE,,"Decimal(10, 2)",,,,,,,"@db.Decimal(10, 2)",
variant_id,Int,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,
coupon_id,Int,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,
coupon,Coupon,relation,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,coupon_id,id,,NoAction,"@relation(fields: [coupon_id], references: [id], onUpdate: NoAction)",
products,Product,relation,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,product_id,id,,NoAction,"@relation(fields: [product_id], references: [id], onUpdate: NoAction)",
sales_transactions,SalesTransaction,relation,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,transaction_id,id,Cascade,NoAction,"@relation(fields: [transaction_id], references: [id], onDelete: Cascade, onUpdate: NoAction)",
product_variants,ProductVariant,relation,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,variant_id,id,,NoAction,"@relation(fields: [variant_id], references: [id], onUpdate: NoAction)",
