Field,BaseType,Kind,Optional,List,Id,Unique,UpdatedAt,Default,DbType,MapTo,RelationName,RelationFields,RelationReferences,RelationOnDelete,RelationOnUpdate,AttributesRaw,Documentation
id,Int,scalar,FALSE,FALSE,TRUE,FALSE,FALSE,autoincrement(),,,,,,,,@id @default(autoincrement()),
title,String,scalar,FALSE,FALSE,FALSE,FALSE,FALSE,,VarChar(255),,,,,,,@db.VarChar(255),
description,String,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,
notes,String,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,
createdAt,DateTime,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,now(),Timestamptz(6),created_at,,,,,,"@default(now()) @map(""created_at"") @db.Timestamptz(6)",
updatedAt,DateTime,scalar,TRUE,FALSE,FALSE,FALSE,TRUE,now(),Timestamptz(6),updated_at,,,,,,"@default(now()) @updatedAt @map(""updated_at"") @db.Timestamptz(6)",
submittedAt,DateTime,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,,Timestamptz(6),submitted_at,,,,,,"@map(""submitted_at"") @db.Timestamptz(6)",
approvedAt,DateTime,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,,Timestamptz(6),approved_at,,,,,,"@map(""approved_at"") @db.Timestamptz(6)",
createdById,Int,scalar,FALSE,FALSE,FALSE,FALSE,FALSE,,,created_by,,,,,,"@map(""created_by"")",
approvedById,Int,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,,,approved_by,,,,,,"@map(""approved_by"")",
status,stock_reconciliation_status,enum,TRUE,FALSE,FALSE,FALSE,FALSE,DRAFT,,,,,,,,@default(DRAFT),
items,StockReconciliationItem,relation,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,,,,
approvedBy,User,relation,TRUE,FALSE,FALSE,FALSE,FALSE,,,,ReconciliationApprover,approvedById,id,,NoAction,"@relation(""ReconciliationApprover"", fields: [approvedById], references: [id], onUpdate: NoAction)",
createdBy,User,relation,FALSE,FALSE,FALSE,FALSE,FALSE,,,,ReconciliationCreator,createdById,id,,NoAction,"@relation(""ReconciliationCreator"", fields: [createdById], references: [id], onUpdate: NoAction)",
