Field,BaseType,Kind,Optional,List,Id,Unique,UpdatedAt,Default,DbType,MapTo,RelationName,RelationFields,RelationReferences,RelationOnDelete,RelationOnUpdate,AttributesRaw,Documentation
id,Int,scalar,FALSE,FALSE,TRUE,FALSE,FALSE,autoincrement(),,,,,,,,@id @default(autoincrement()),
transaction_id,Int,scalar,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,
amount,Decimal,scalar,FALSE,FALSE,FALSE,FALSE,FALSE,,"Decimal(10, 2)",,,,,,,"@db.Decimal(10, 2)",
payment_method,String,scalar,FALSE,FALSE,FALSE,FALSE,FALSE,,VarChar(50),,,,,,,@db.VarChar(50),
note,String,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,
payment_date,DateTime,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,,Timestamptz(6),,,,,,,@db.Timestamptz(6),
recorded_by,Int,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,
created_at,DateTime,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,now(),Timestamptz(6),,,,,,,@default(now()) @db.Timestamptz(6),
sales_transaction,SalesTransaction,relation,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,transaction_id,id,Cascade,NoAction,"@relation(fields: [transaction_id], references: [id], onDelete: Cascade, onUpdate: NoAction)",
recordedBy,User,relation,TRUE,FALSE,FALSE,FALSE,FALSE,,,,TransactionPaymentsRecordedBy,recorded_by,id,SetNull,NoAction,"@relation(""TransactionPaymentsRecordedBy"", fields: [recorded_by], references: [id], onDelete: SetNull, onUpdate: NoAction)",
