Field,BaseType,Kind,Optional,List,Id,Unique,UpdatedAt,Default,DbType,MapTo,RelationName,RelationFields,RelationReferences,RelationOnDelete,RelationOnUpdate,AttributesRaw,Documentation
id,Int,scalar,FALSE,FALSE,TRUE,FALSE,FALSE,autoincrement(),,,,,,,,@id @default(autoincrement()),
firstName,String,scalar,FALSE,FALSE,FALSE,FALSE,FALSE,,VarChar(100),first_name,,,,,,"@map(""first_name"") @db.VarChar(100)",
lastName,String,scalar,FALSE,FALSE,FALSE,FALSE,FALSE,,VarChar(100),last_name,,,,,,"@map(""last_name"") @db.VarChar(100)",
email,String,scalar,FALSE,FALSE,FALSE,TRUE,FALSE,,VarChar(255),,,,,,,@unique @db.VarChar(255),
password,String,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,,VarChar(255),password_hash,,,,,,"@map(""password_hash"") @db.VarChar(255)",
phone,String,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,,VarChar(20),,,,,,,@db.VarChar(20),
isActive,Boolean,scalar,FALSE,FALSE,FALSE,FALSE,FALSE,true,,is_active,,,,,,"@default(true) @map(""is_active"")",
lastLogin,DateTime,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,,Timestamptz(6),last_login,,,,,,"@map(""last_login"") @db.Timestamptz(6)",
lastLogout,DateTime,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,,Timestamptz(6),last_logout,,,,,,"@map(""last_logout"") @db.Timestamptz(6)",
lastActivity,DateTime,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,,Timestamptz(6),last_activity,,,,,,"@map(""last_activity"") @db.Timestamptz(6)",
resetToken,String,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,,VarChar(255),reset_token,,,,,,"@map(""reset_token"") @db.VarChar(255)",
resetTokenExpires,DateTime,scalar,TRUE,FALSE,FALSE,FALSE,FALSE,,Timestamptz(6),reset_token_expires,,,,,,"@map(""reset_token_expires"") @db.Timestamptz(6)",
